"Reference","MF","MP","Value","Description","Footprint","Datasheet","Qty","#"
"J2,J3","Kycon, Inc.","KCDX-5S-N2","DIN-5_180degree","-- mixed values --","-- mixed values --","https://www.kycon.com/Pub_Eng_Draw/KCDX-5S-N2.pdf","2","13"
"J11","Kycon, Inc.","KLDX-0202-A","BarrelJack","DC Barrel Jack with a PCB mounting","Connector_BarrelJack:BarrelJack_Kycon_KLDX-0202-xC_Horizontal","https://www.kycon.com/Catalog_PDF/KLDX_0202.pdf","1","14"
"J13,J14,J18","Samtec Inc.","TSW-102-07-T-S","Head_1x02","-- mixed values --","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","https://suddendocs.samtec.com/catalog_english/tsw_th.pdf","3","15"
"J20","Samtec Inc.","TSW-120-07-G-D","Head_2x20 Gold","2x20 Pin Header for Expansion Interface","TRS80IJP:PinHeader_2x20_P2.54mm_Even_Odd_Vertical","https://suddendocs.samtec.com/catalog_english/tsw_th.pdf","1","16"
"J21","Samtec Inc.","TSW-102-07-T-D","Head_2x02 Gold","2x02 Pin Header for Expansion Power","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","https://suddendocs.samtec.com/catalog_english/tsw_th.pdf","1","17"
"JP21,JP27","Samtec Inc.","TSW-103-07-T-S","Head_1x03","1x03 Pin Header for configuring ROM","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","https://suddendocs.samtec.com/catalog_english/tsw_th.pdf","2","18"
"K1","Omron Electronics Inc-EMC Div","G5V-1-T90 DC5","G5V-1","Ultra-miniature, Highly Sensitive SPDT Relay for Signal Circuits","Relay_THT:Relay_SPDT_Omron_G5V-1","http://omronfs.omron.com/en_US/ecb/products/pdf/en-g5v_1.pdf","1","19"
"N1,N2,N3,N4","Sullins Connector Solutions","STC02SYAN","JUMPER","JUMPER","","https://drawings-pdf.s3.amazonaws.com/11134.pdf","4","20"
"Q1","Central Semiconductor Corp","2SC1815 PBFREE","2SC1815","BJT","Package_TO_SOT_THT:TO-92L_Inline","https://media.digikey.com/pdf/Data%20Sheets/Toshiba%20PDFs/2SC1815.pdf","1","21"
"Q2","Shenzhen Slkormicro Semicon Co., Ltd.","2SA1015-B","2SA1015","BJT","Package_TO_SOT_THT:TO-92L_Inline","http://www.datasheetcatalog.org/datasheet/toshiba/905.pdf","1","22"
"R1,R32","YAGEO","MFR-25FBF52-100R","100R","Resistor","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","https://www.yageo.com/upload/media/product/app/datasheet/lr/yageo-mfr_datasheet.pdf","2","23"
"R2","YAGEO","MFR-25FBF52-1K2","1K2","Resistor","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","https://www.yageo.com/upload/media/product/app/datasheet/lr/yageo-mfr_datasheet.pdf","1","24"
"R3,R4","YAGEO","MFR-25FBF52-7K5","7K5","Resistor","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","https://www.yageo.com/upload/media/product/app/datasheet/lr/yageo-mfr_datasheet.pdf","2","25"
"R5","YAGEO","MFR-25FBF52-220K","220K","Resistor","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","https://www.yageo.com/upload/media/product/app/datasheet/lr/yageo-mfr_datasheet.pdf","1","26"
"R6","YAGEO","MFR-25FBF52-75R","75R","Resistor","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","https://www.yageo.com/upload/media/product/app/datasheet/lr/yageo-mfr_datasheet.pdf","1","27"
"R7","YAGEO","MFR-25FBF52-47R","47R","Resistor","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","https://www.yageo.com/upload/media/product/app/datasheet/lr/yageo-mfr_datasheet.pdf","1","28"
"R8,R75","YAGEO","MFR-25FBF52-330R","330R","Resistor","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","https://www.yageo.com/upload/media/product/app/datasheet/lr/yageo-mfr_datasheet.pdf","2","29"
"R9","YAGEO","MFR-25FBF52-120R","120R","Resistor","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","https://www.yageo.com/upload/media/product/app/datasheet/lr/yageo-mfr_datasheet.pdf","1","30"
"R10","YAGEO","MFR-25FBF52-270R","270R","Resistor","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","https://www.yageo.com/upload/media/product/app/datasheet/lr/yageo-mfr_datasheet.pdf","1","31"
"R11,R31,R34,R49","YAGEO","MFR-25FBF52-10K","10K","Resistor","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","https://www.yageo.com/upload/media/product/app/datasheet/lr/yageo-mfr_datasheet.pdf","4","32"
"R33,R51","YAGEO","MFR-25FBF52-1M","1M","Resistor","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","https://www.yageo.com/upload/media/product/app/datasheet/lr/yageo-mfr_datasheet.pdf","2","33"
"R35","YAGEO","MFR-25FBF52-680K","680K","Resistor","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","https://www.yageo.com/upload/media/product/app/datasheet/lr/yageo-mfr_datasheet.pdf","1","34"
"R36","YAGEO","MFR-25FBF52-1M8","1M8","Resistor","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","https://www.yageo.com/upload/media/product/app/datasheet/lr/yageo-mfr_datasheet.pdf","1","35"
"R37","YAGEO","MFR-50FRF52-220R","220R 1/2W","Resistor","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal","https://www.yageo.com/upload/media/product/app/datasheet/lr/yageo-mfr_datasheet.pdf","1","36"
"R38,R42","YAGEO","MFR-25FBF52-360K","360K","Resistor","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","https://www.yageo.com/upload/media/product/app/datasheet/lr/yageo-mfr_datasheet.pdf","2","37"
"R39","YAGEO","MFR-25FBF52-10R","10R","Resistor","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","https://www.yageo.com/upload/media/product/app/datasheet/lr/yageo-mfr_datasheet.pdf","1","38"
"R41,R55,R77,R80","YAGEO","MFR-25FBF52-4K7","4K7","Resistor","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","https://www.yageo.com/upload/media/product/app/datasheet/lr/yageo-mfr_datasheet.pdf","4","39"
"R43","YAGEO","MFR-25FBF52-560K","560K","Resistor","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","https://www.yageo.com/upload/media/product/app/datasheet/lr/yageo-mfr_datasheet.pdf","1","40"
